entry_idx,entry_time,entry_btc,entry_eth,stop_btc,stop_eth,btc_poc,eth_poc,btc_vah,eth_vah,sl_dist_btc,sl_dist_eth,div_type,btc_sh2_price,eth_sh2_price,confirmed_pos,exit_idx,exit_time,exit_btc,exit_eth,pnl_btc,pnl_eth,pnl_avg,win,exit_reason,bars_held,year
56,2019-01-10 08:00:00+00:00,3775.2735,135.3687,4015.99,149.1219,3823.9574,151.9342,3823.9574,155.052,6.376,10.16,BTC_HH+ETH_LH,4027.71,157.4,39,60,2019-01-11 00:00:00+00:00,3588.0315,125.035,4.9597,7.6338,6.2967,True,take_profit,4,2019
603,2019-04-11 16:00:00+00:00,4991.3234,162.1526,5061.0694,164.82,5170.1917,174.2723,5204.337,179.135,1.397,1.645,BTC_HH+ETH_LH,5422.0,183.77,602,604,2019-04-11 20:00:00+00:00,5064.106,164.9189,-1.4582,-1.706,-1.5821,False,stop_loss,1,2019
1427,2019-08-27 12:00:00+00:00,10124.5516,186.0683,10267.0599,187.8546,10143.2783,189.0604,10315.63,192.1655,1.408,0.96,BTC_HH+ETH_LH,10604.0,193.7,1423,1428,2019-08-27 16:00:00+00:00,10273.2201,187.9673,-1.4684,-1.0206,-1.2445,False,stop_loss,1,2019
1814,2019-10-31 00:00:00+00:00,9148.5276,183.0301,9271.125,184.8496,9187.9696,183.422,9527.836,186.859,1.34,0.994,BTC_LH+ETH_HH,9550.0,192.74,1812,1817,2019-10-31 12:00:00+00:00,9276.6877,184.9605,-1.4009,-1.0547,-1.2278,False,stop_loss,3,2019
2467,2020-02-16 20:00:00+00:00,9740.0625,249.6002,9958.545,263.7522,10236.0324,257.0188,10316.3,270.84,2.243,5.67,BTC_LH+ETH_HH,10381.56,288.41,2461,2468,2020-02-17 00:00:00+00:00,9964.5201,263.9105,-2.3045,-5.7333,-4.0189,False,stop_loss,1,2020
3767,2020-09-20 16:00:00+00:00,10828.1192,370.5176,11012.9709,381.5382,10949.3653,378.3327,10999.92,386.6185,1.707,2.974,BTC_HH+ETH_LH,11179.79,388.72,3765,3879,2020-10-09 08:00:00+00:00,11057.0603,381.7671,-2.1143,-3.0362,-2.5752,False,stop_loss,112,2020
5176,2021-05-13 12:00:00+00:00,49747.1438,3742.2133,51204.75,4006.7842,56883.6606,3918.5726,58274.152,4159.786,2.93,7.07,BTC_LH+ETH_HH,58000.01,4372.72,5175,5181,2021-05-14 08:00:00+00:00,51235.4728,4009.1883,-2.9918,-7.1341,-5.063,False,stop_loss,5,2021
5332,2021-06-08 12:00:00+00:00,33064.5793,2530.8106,33539.875,2572.6894,36324.4305,2702.3542,36918.8875,2771.484,1.437,1.655,BTC_LH+ETH_HH,36900.0,2847.55,5331,5334,2021-06-08 20:00:00+00:00,33559.9989,2574.233,-1.4983,-1.7158,-1.607,False,stop_loss,2,2021
7663,2022-07-02 00:00:00+00:00,19268.2321,1059.0942,19785.1435,1097.46,19998.2119,1141.19,20742.56,1226.42,2.683,3.623,BTC_HH+ETH_LH,20918.35,1117.0,7662,7677,2022-07-04 08:00:00+00:00,19818.3739,1101.6606,-2.8552,-4.0191,-3.4372,False,stop_loss,14,2022
7807,2022-07-26 00:00:00+00:00,21298.1135,1439.9255,22371.2799,1546.2025,22833.3157,1475.286,23429.878,1576.98,5.039,7.381,BTC_LH+ETH_HH,23756.49,1650.05,7791,7817,2022-07-27 16:00:00+00:00,22787.2842,1588.9128,-6.992,-10.3469,-8.6695,False,stop_loss,10,2022
10668,2023-11-14 20:00:00+00:00,35272.8236,1977.8026,36599.3162,2064.069,36341.1019,2004.6414,37082.14,2084.835,3.761,4.362,BTC_LH+ETH_HH,37526.0,2136.99,10649,10673,2023-11-15 16:00:00+00:00,37522.49,2065.3074,-6.3779,-4.4243,-5.4011,False,stop_loss,5,2023
12318,2024-08-15 20:00:00+00:00,57012.1122,2548.0602,60148.6269,2688.375,59602.4022,2633.6925,60997.862,2674.2285,5.501,5.507,BTC_LH+ETH_HH,60711.09,2750.0,12305,12331,2024-08-18 00:00:00+00:00,60184.7161,2689.988,-5.5648,-5.57,-5.5674,False,stop_loss,13,2024
13015,2024-12-10 00:00:00+00:00,97218.1141,3709.7728,98060.3826,3823.211,99929.8807,3823.3042,102252.6405,3930.98,0.866,3.058,BTC_LH+ETH_HH,101898.99,4087.73,13001,13018,2024-12-10 12:00:00+00:00,98119.2188,3825.5049,-0.9269,-3.1197,-2.0233,False,stop_loss,3,2024
13268,2025-01-21 04:00:00+00:00,102874.2484,3260.6424,103776.4005,3306.2992,103495.3827,3319.3209,105112.187,3420.936,0.877,1.4,BTC_HH+ETH_LH,109588.0,3453.69,13267,13269,2025-01-21 08:00:00+00:00,103838.6663,3308.283,-0.9375,-1.4611,-1.1993,False,stop_loss,1,2025
15258,2025-12-18 20:00:00+00:00,84433.1097,2780.2508,88976.278,2982.3174,87028.0767,3010.0668,87682.9475,3115.069,5.381,7.268,BTC_HH+ETH_LH,90365.85,3030.92,15255,15260,2025-12-19 04:00:00+00:00,89029.6638,2984.1068,-5.444,-7.3323,-6.3882,False,stop_loss,2,2025
